neighbourhood_target_encoded,ng_Bronx,ng_Brooklyn,ng_Manhattan,ng_Queens,ng_Staten Island,room_Entire home/apt,room_Private room,room_Shared room,nights_short_term,nights_weekly,nights_monthly,nights_long_term,number_of_reviews_log,calc_host_listings_log,availability_365,dist_to_center,reviews_per_month,price_log
242.82557191661837,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.24969095113220663,0.1796695550446172,0.07945205479452055,0.061828256275604024,0.013504273504273506,4.605170185988091
127.52040105742047,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7306445724104181,0.1796695550446172,0.6493150684931507,0.14098107996066855,0.06905982905982906,4.51085950651685
144.9985113338163,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.37201357489766657,0.294924860888557,0.26575342465753427,0.1568638895402426,0.00547008547008547,4.394449154672438
95.35073306851041,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.10753603941569054,0.0,0.0,0.27125567540509127,0.0006837606837606838,4.110873864173311
120.12204667798223,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07950504466077782,1.0,0.19289932131535353,0.0,4.51085950651685
115.20878061485553,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.42013154108214834,0.0,0.9972602739726028,0.28070002932112387,0.016752136752136753,4.61512051684126
106.5928381210867,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19095927893554315,0.0,5.303304908059076
115.30806990602233,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5054666708010978,0.0,0.0,0.25710336735432127,0.03504273504273504,3.828641396489095
120.12204667798223,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20580996972055376,0.0,4.110873864173311
95.35073306851041,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2909108824729516,0.0,3.4011973816621555
